sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,target_gap_months_actual,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,sample_weight,selection_method,search_distance
21,5,2015-04,2016-03,2016-04,2013-12,2014-11,2014-12,99.8,100.3,-0.5,1.5284069969915826,16,1.5284069969915826,1.3734832615470263,1.0521497876464792,1.1718828290797199,1.1120163083630996,small,0.03571428571428571,all_target_gap_pairs_balanced,1.057058842345242
21,6,2015-04,2016-03,2016-04,2014-01,2014-12,2015-01,99.8,100.3,-0.5,1.6520976128096274,15,1.6520976128096274,1.7101868038689443,1.137297955263468,1.459164888340449,1.2982314218019586,small,0.03571428571428571,all_target_gap_pairs_balanced,1.1504944995196245
21,7,2015-04,2016-03,2016-04,2014-02,2015-01,2015-02,99.8,101.2,-1.4000000000000057,1.4104090737379436,14,1.4104090737379436,2.727303416233554,0.9709204487737746,2.32698871013153,1.6489545794526523,small,0.03571428571428571,all_target_gap_pairs_balanced,1.0265192474894425
21,8,2015-04,2016-03,2016-04,2014-03,2015-02,2015-03,99.8,99.5,0.29999999999999716,1.4723784061190437,13,1.4723784061190437,2.775038562301617,1.0135799105753145,2.3677172720200583,1.6906485912976863,medium,0.08333333333333333,all_target_gap_pairs_balanced,1.069099542394549
21,9,2015-04,2016-03,2016-04,2014-04,2015-03,2015-04,99.8,99.8,0.0,0.4789963167959578,12,0.4789963167959578,1.348049489988712,0.329739312887409,1.1501822368683863,0.7399607748778976,medium,0.08333333333333333,all_target_gap_pairs_balanced,0.36337747277062904
22,0,2015-05,2016-04,2016-05,2013-07,2014-06,2014-07,99.5,100.1,-0.5999999999999943,1.6165819591094162,22,1.6165819591094162,0.15189781904491104,1.112849109129974,0.12960219530661896,0.6212256522182964,small,0.025,all_target_gap_pairs_balanced,1.0725359856632164
22,1,2015-05,2016-04,2016-05,2013-08,2014-07,2014-08,99.5,100.2,-0.7000000000000028,1.6808792456920758,21,1.6808792456920758,0.45569345713468995,1.1571111260909985,0.38880658591982004,0.7729588560054093,small,0.025,all_target_gap_pairs_balanced,1.1256106399439803
22,2,2015-05,2016-04,2016-05,2013-09,2014-08,2014-09,99.5,100.5,-1.0,1.6305852754690309,20,1.6305852754690309,0.7883346617355282,1.1224889409045704,0.6726225790445164,0.8975557599745434,small,0.025,all_target_gap_pairs_balanced,1.1040444200683082
22,3,2015-05,2016-04,2016-05,2013-10,2014-09,2014-10,99.5,100.0,-0.5,1.2936139878096298,19,1.2936139878096298,1.4628027700670028,0.8905191387172856,1.2480919837646502,1.0693055612409679,small,0.025,all_target_gap_pairs_balanced,0.9051796253642276
22,4,2015-05,2016-04,2016-05,2013-11,2014-10,2014-11,99.5,99.8,-0.29999999999999716,1.2942993907343332,18,1.2942993907343332,1.2107637960165225,0.8909909675842682,1.0330473929656716,0.9620191802749699,small,0.025,all_target_gap_pairs_balanced,0.8968152810249057
22,5,2015-05,2016-04,2016-05,2013-12,2014-11,2014-12,99.5,100.3,-0.7999999999999972,1.2771800331448826,17,1.2771800331448826,1.3394642511199142,0.8792060644218,1.1428571428570038,1.011031603639402,small,0.025,all_target_gap_pairs_balanced,0.8900157586376434
22,6,2015-05,2016-04,2016-05,2014-01,2014-12,2015-01,99.5,100.3,-0.7999999999999972,1.5284069969915826,16,1.5284069969915826,1.5398013397168846,1.0521497876464792,1.3137886720044187,1.1829692298254488,small,0.025,all_target_gap_pairs_balanced,1.0628769819051547
22,7,2015-05,2016-04,2016-05,2014-02,2015-01,2015-02,99.5,101.2,-1.7000000000000028,1.6295769168034313,15,1.6295769168034313,2.6238203417662427,1.1217947904865402,2.2386949234769866,1.6802448569817634,small,0.025,all_target_gap_pairs_balanced,1.1675876959391485
22,8,2015-05,2016-04,2016-05,2014-03,2015-02,2015-03,99.5,99.5,0.0,1.4852800564165511,14,1.4852800564165511,2.513257284168489,1.0224613594613314,2.14436035649914,1.5834108579802355,medium,0.25,all_target_gap_pairs_balanced,1.0684592183398816
22,9,2015-05,2016-04,2016-05,2014-04,2015-03,2015-04,99.5,99.8,-0.29999999999999716,1.4723784061190437,13,1.4723784061190437,1.4148572390543024,1.0135799105753145,1.207183917319336,1.1103819139473252,small,0.025,all_target_gap_pairs_balanced,1.0215176748518193
22,10,2015-05,2016-04,2016-05,2014-05,2015-04,2015-05,99.5,99.8,-0.29999999999999716,0.47649466226601656,12,0.47649466226601656,1.1720312197300675,0.32801718305705396,1.0,0.664008591528527,small,0.025,all_target_gap_pairs_balanced,0.3555684785517147
23,0,2015-06,2016-05,2016-06,2013-07,2014-06,2014-07,99.9,100.1,-0.19999999999998863,1.3434929974129466,23,1.3434929974129466,0.7883346617355282,0.9248556665305219,0.6726225790445164,0.7987391227875191,medium,0.027777777777777776,all_target_gap_pairs_balanced,0.9145141099435956
23,1,2015-06,2016-05,2016-06,2013-08,2014-07,2014-08,99.9,100.2,-0.29999999999999716,1.6010652951311894,22,1.6010652951311894,1.0406394608631635,1.1021674943887383,0.8878939770075706,0.9950307356981545,small,0.03333333333333333,all_target_gap_pairs_balanced,1.0933822801761104
23,2,2015-06,2016-05,2016-06,2013-09,2014-08,2014-09,99.9,100.5,-0.5999999999999943,1.6500679544014814,21,1.6500679544014814,1.063284733314291,1.1359007458373602,0.907215367146259,1.0215580564918096,small,0.03333333333333333,all_target_gap_pairs_balanced,1.1265246453110251
23,3,2015-06,2016-05,2016-06,2013-10,2014-09,2014-10,99.9,100.0,-0.09999999999999432,1.6330851175315222,20,1.6330851175315222,1.5998747210527997,1.1242098230389608,1.3650444579635597,1.2446271405012603,medium,0.027777777777777776,all_target_gap_pairs_balanced,1.1340840430708694
23,4,2015-06,2016-05,2016-06,2013-11,2014-10,2014-11,99.9,99.8,0.10000000000000853,1.274611515888848,19,1.274611515888848,1.0126029852671643,0.8774379065353062,0.8639727067171288,0.8707053066262175,medium,0.027777777777777776,all_target_gap_pairs_balanced,0.8768858333427608
23,5,2015-06,2016-05,2016-06,2013-12,2014-11,2014-12,99.9,100.3,-0.3999999999999915,1.2592199781248903,18,1.2592199781248903,0.9531537267860598,0.8668424282224114,0.8132494346060015,0.8400459314142065,small,0.03333333333333333,all_target_gap_pairs_balanced,0.8646451154841386
23,6,2015-06,2016-05,2016-06,2014-01,2014-12,2015-01,99.9,100.3,-0.3999999999999915,1.2989502157028967,17,1.2989502157028967,1.4756402459845825,0.8941925784854791,1.259045169739113,1.076618874112296,small,0.03333333333333333,all_target_gap_pairs_balanced,0.909151534726878
23,7,2015-06,2016-05,2016-06,2014-02,2015-01,2015-02,99.9,101.2,-1.2999999999999972,1.4840687777724582,16,1.4840687777724582,2.348092569645167,1.0216275196721447,2.003438586035242,1.5125330528536933,small,0.03333333333333333,all_target_gap_pairs_balanced,1.0618817733930317
23,8,2015-06,2016-05,2016-06,2014-03,2015-02,2015-03,99.9,99.5,0.4000000000000057,1.6973200715940786,15,1.6973200715940786,2.714576819221314,1.168428930521084,2.3161301282115274,1.7422795293663058,large,0.16666666666666666,all_target_gap_pairs_balanced,1.2154846796263923
23,9,2015-06,2016-05,2016-06,2014-04,2015-03,2015-04,99.9,99.8,0.10000000000000853,1.434657108811563,14,1.434657108811563,0.8371651569500891,0.987612707448179,0.7142857142857492,0.8509492108669641,medium,0.027777777777777776,all_target_gap_pairs_balanced,0.9764063007285193
23,10,2015-06,2016-05,2016-06,2014-05,2015-04,2015-05,99.9,99.8,0.10000000000000853,1.4549333780771008,13,1.4549333780771008,0.8100602736108121,1.001570817064263,0.6911592967612061,0.8463650569127346,medium,0.027777777777777776,all_target_gap_pairs_balanced,0.9888439447318377
23,11,2015-06,2016-05,2016-06,2014-06,2015-05,2015-06,99.9,100.0,-0.09999999999999432,0.44317586848065743,12,0.44317586848065743,1.2575029649656162,0.30508064725546113,1.0729261676623545,0.6890034074589078,medium,0.027777777777777776,all_target_gap_pairs_balanced,0.3365623135921437
24,0,2015-07,2016-06,2016-07,2013-07,2014-06,2014-07,100.2,100.1,0.10000000000000853,0.9226840677060826,24,0.9226840677060826,0.6697321255599571,0.6351723381354625,0.5714285714285019,0.6033004547819822,medium,0.023809523809523808,all_target_gap_pairs_balanced,0.6325588437004771
24,1,2015-07,2016-06,2016-07,2013-08,2014-07,2014-08,100.2,100.2,0.0,1.3412626627695865,23,1.3412626627695865,0.7354134277598106,0.9233203123179261,0.627469145343402,0.7753947288306641,medium,0.023809523809523808,all_target_gap_pairs_balanced,0.9111904144719706
24,2,2015-07,2016-06,2016-07,2013-09,2014-08,2014-09,100.2,100.5,-0.29999999999999716,1.5926192601903852,22,1.5926192601903852,0.4854795020139973,1.0963532748209703,0.41422062300167134,0.7552869489113209,small,0.08333333333333333,all_target_gap_pairs_balanced,1.0683858360963792
24,3,2015-07,2016-06,2016-07,2013-10,2014-09,2014-10,100.2,100.0,0.20000000000000284,1.661965348193503,21,1.661965348193503,0.9709590040281916,1.1440908682173687,0.8284412460035107,0.9862660571104397,medium,0.023809523809523808,all_target_gap_pairs_balanced,1.1311492337066005
24,4,2015-07,2016-06,2016-07,2013-11,2014-10,2014-11,100.2,99.8,0.4000000000000057,1.6230494748511943,20,1.6230494748511943,0.5247640683533007,1.1173013233161864,0.4477389846954418,0.7825201540058141,large,0.041666666666666664,all_target_gap_pairs_balanced,1.0898492674327358
24,5,2015-07,2016-06,2016-07,2013-12,2014-11,2014-12,100.2,100.3,-0.09999999999999432,1.2622781465594843,19,1.2622781465594843,0.6867416307736547,0.8689476601896681,0.5859414145399807,0.7274445373648244,medium,0.023809523809523808,all_target_gap_pairs_balanced,0.8573444041180308
24,6,2015-07,2016-06,2016-07,2014-01,2014-12,2015-01,100.2,100.3,-0.09999999999999432,1.2653523523513477,18,1.2653523523513477,0.9042722371592365,0.8710639322150233,0.7715427899331052,0.8213033610740643,medium,0.023809523809523808,all_target_gap_pairs_balanced,0.8669835653814646
24,7,2015-07,2016-06,2016-07,2014-02,2015-01,2015-02,100.2,101.2,-1.0,1.2208903684981294,17,1.2208903684981294,1.939396653329196,0.8404564651191615,1.6547312227534874,1.2475938439363246,small,0.08333333333333333,all_target_gap_pairs_balanced,0.8738417301821688
24,8,2015-07,2016-06,2016-07,2014-03,2015-02,2015-03,100.2,99.5,0.7000000000000028,1.519447785569356,16,1.519447785569356,2.085154487269049,1.045982299265485,1.7790946624692168,1.412538480867351,large,0.041666666666666664,all_target_gap_pairs_balanced,1.076039906156838
24,9,2015-07,2016-06,2016-07,2014-04,2015-03,2015-04,100.2,99.8,0.4000000000000057,1.6821680140907467,15,1.6821680140907467,0.9042722371592512,1.1579983095438722,0.7715427899331178,0.964770549738495,large,0.041666666666666664,all_target_gap_pairs_balanced,1.142153633239831
24,10,2015-07,2016-06,2016-07,2014-05,2015-04,2015-05,100.2,99.8,0.4000000000000057,1.4306267061953633,14,1.4306267061953633,0.5247640683533069,0.9848381930255735,0.4477389846954471,0.7162885888605103,large,0.041666666666666664,all_target_gap_pairs_balanced,0.9628171254840383
24,11,2015-07,2016-06,2016-07,2014-06,2015-05,2015-06,100.2,100.0,0.20000000000000284,1.4327203833220947,13,1.4327203833220947,1.0160169621847142,0.9862794727034516,0.8668855787124125,0.9265825257079321,medium,0.023809523809523808,all_target_gap_pairs_balanced,0.9813843230498189
